ensembl_gene_id,ensembl_transcript_id,refseq,chromosome_name
ENSG00000068912,ENST00000185150,NM_015701,2
ENSG00000179751,ENST00000318438,NM_001080468,19
ENSG00000068912,ENST00000405123,NM_001127397,2
ENSG00000164304,ENST00000502583,NM_001170692,6
ENSG00000188786,ENST00000373036,NM_005955,1
ENSG00000068912,ENST00000378239,NM_001127398,2
ENSG00000164304,ENST00000296742,NM_205864,6
ENSG00000110075,ENST00000524845,NM_001352363,11
ENSG00000110075,ENST00000524845,NM_001164163,11
ENSG00000110075,ENST00000524845,NM_001352355,11
ENSG00000227460,ENST00000455687,NM_006772,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000227460,ENST00000455687,NM_001130066,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000132676,ENST00000368336,NM_001199849,1
ENSG00000132676,ENST00000368336,NM_004632,1
ENSG00000132676,ENST00000368336,NM_033657,1
ENSG00000068323,ENST00000315869,NM_001282142,X
ENSG00000068323,ENST00000315869,NM_006521,X
ENSG00000110075,ENST00000524904,NM_001352362,11
ENSG00000110075,ENST00000524904,NM_001352348,11
ENSG00000110075,ENST00000524904,NM_001164162,11
ENSG00000110075,ENST00000524904,NM_001352365,11
ENSG00000110075,ENST00000524904,NM_001352358,11
ENSG00000110075,ENST00000524904,NM_001352359,11
ENSG00000110075,ENST00000524904,NM_001352351,11
ENSG00000164304,ENST00000338150,NM_001170693,6
ENSG00000088002,ENST00000201586,NM_177973,19
ENSG00000110075,ENST00000393801,NM_001352379,11
ENSG00000110075,ENST00000393801,NM_001352354,11
ENSG00000110075,ENST00000393801,NM_001352364,11
ENSG00000110075,ENST00000393801,NM_001352372,11
ENSG00000110075,ENST00000393801,NM_001352371,11
ENSG00000110075,ENST00000393801,NM_001352360,11
ENSG00000110075,ENST00000393801,NM_001352376,11
ENSG00000110075,ENST00000393801,NM_001352369,11
ENSG00000110075,ENST00000393801,NM_001352378,11
ENSG00000110075,ENST00000393801,NM_001352380,11
ENSG00000110075,ENST00000393801,NM_001352356,11
ENSG00000110075,ENST00000393801,NM_001164160,11
ENSG00000110075,ENST00000393801,NM_001352377,11
ENSG00000110075,ENST00000393801,NM_001352352,11
ENSG00000110075,ENST00000393801,NM_001352373,11
ENSG00000110075,ENST00000393801,NM_001352350,11
ENSG00000110075,ENST00000393801,NM_001352347,11
ENSG00000110075,ENST00000393801,NM_001352370,11
ENSG00000110075,ENST00000393801,NM_001352374,11
ENSG00000110075,ENST00000393801,NM_001352353,11
ENSG00000088002,ENST00000323090,NM_004605,19
ENSG00000085117,ENST00000227155,NM_002231,11
ENSG00000123500,ENST00000651968,NM_000493,6
ENSG00000110075,ENST00000265636,NM_018312,11
ENSG00000085117,ENST00000342935,NM_001024844,11
ENSG00000110075,ENST00000529710,NM_001164164,11
ENSG00000196664,ENST00000380659,NM_016562,X
ENSG00000155115,ENST00000329970,NM_138408,6
ENSG00000134061,ENST00000256447,NM_005582,5
ENSG00000110075,ENST00000527403,NM_001352366,11
ENSG00000132676,ENST00000421487,NM_001199850,1
ENSG00000101916,ENST00000218032,NM_138636,X
ENSG00000166441,ENST00000314138,NM_000990,11
ENSG00000110075,ENST00000534190,NM_001352357,11
ENSG00000101916,ENST00000311912,NM_016610,X
ENSG00000104112,ENST00000220478,NM_013243,15
ENSG00000278311,ENST00000613102,NM_024835,17
ENSG00000197110,ENST00000413851,NM_172139,19
ENSG00000197110,ENST00000613087,NM_001346937,19
ENSG00000161904,ENST00000293760,NM_181336,6
ENSG00000161904,ENST00000293760,NM_001348710,6
ENSG00000104112,ENST00000542355,NM_001165257,15
ENSG00000178425,ENST00000319550,NM_152729,6
ENSG00000276480,ENST00000612165,NM_001040113,CHR_HSCHR16_1_CTG1
ENSG00000204919,ENST00000377931,NM_198441,13
ENSG00000276480,ENST00000621545,NM_001040114,CHR_HSCHR16_1_CTG1
ENSG00000276480,ENST00000616422,NM_022844,CHR_HSCHR16_1_CTG1
ENSG00000177427,ENST00000323019,NM_139162,17
ENSG00000276480,ENST00000634050,NM_002474,CHR_HSCHR16_1_CTG1
ENSG00000229665,ENST00000544357,NM_001130405,13
ENSG00000131730,ENST00000254035,NM_001099735,5
ENSG00000132676,ENST00000535183,NM_001199851,1
ENSG00000244482,ENST00000396365,NM_024318,19
ENSG00000032389,ENST00000398659,NM_001330530,2
ENSG00000244694,ENST00000339488,NM_001013732,6
ENSG00000177427,ENST00000395704,NM_001144900,17
ENSG00000135250,ENST00000393651,NM_001350740,7
ENSG00000135250,ENST00000393651,NM_001350741,7
ENSG00000135250,ENST00000393651,NM_182692,7
ENSG00000087250,ENST00000200691,NM_005954,16
ENSG00000032389,ENST00000382125,NM_001330531,2
ENSG00000032389,ENST00000382125,NM_003310,2
ENSG00000244694,ENST00000398738,NM_207499,6
ENSG00000177674,ENST00000376637,NM_001040195,1
ENSG00000204918,ENST00000377930,NM_001130404,13
ENSG00000135250,ENST00000357311,NM_001350746,7
ENSG00000135250,ENST00000357311,NM_001350742,7
ENSG00000135250,ENST00000357311,NM_001350738,7
ENSG00000135250,ENST00000357311,NM_001350743,7
ENSG00000135250,ENST00000357311,NM_001350745,7
ENSG00000135250,ENST00000357311,NM_001350739,7
ENSG00000135250,ENST00000357311,NM_182691,7
ENSG00000135250,ENST00000357311,NM_001350744,7
ENSG00000023892,ENST00000316637,NM_022047,6
ENSG00000161904,ENST00000508327,NM_001348709,6
ENSG00000161904,ENST00000508327,NM_001143944,6
ENSG00000131730,ENST00000424301,NM_001825,5
ENSG00000263513,ENST00000584486,NM_001346070,1
ENSG00000263513,ENST00000584486,NM_001287385,1
ENSG00000177427,ENST00000395706,NM_148886,17
ENSG00000263513,ENST00000369175,NM_001346071,1
ENSG00000135250,ENST00000489828,NM_001278273,7
ENSG00000228892,ENST00000433376,NM_006411,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000227151,ENST00000452123,NM_001130406,13
ENSG00000131730,ENST00000437669,NM_001099736,5
ENSG00000228892,ENST00000417388,NM_032741,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000231824,ENST00000580650,NM_001330553,18
ENSG00000234278,ENST00000434815,NM_001130407,13
ENSG00000231824,ENST00000434239,NM_001145194,18
ENSG00000140474,ENST00000569437,NM_001284364,15
ENSG00000115155,ENST00000338581,NM_004802,2
ENSG00000115155,ENST00000339598,NM_194323,2
ENSG00000100359,ENST00000248929,NM_001350039,22
ENSG00000100359,ENST00000248929,NM_001350040,22
ENSG00000100359,ENST00000248929,NM_001350041,22
ENSG00000100359,ENST00000248929,NM_001350042,22
ENSG00000100359,ENST00000248929,NM_001350045,22
ENSG00000100359,ENST00000248929,NM_001350048,22
ENSG00000100359,ENST00000248929,NM_001350043,22
ENSG00000100359,ENST00000248929,NM_001350046,22
ENSG00000100359,ENST00000248929,NM_001350047,22
ENSG00000100359,ENST00000248929,NM_001350044,22
ENSG00000100359,ENST00000248929,NM_001301849,22
ENSG00000100359,ENST00000248929,NM_015705,22
ENSG00000169554,ENST00000627532,NM_014795,2
ENSG00000206340,ENST00000383325,NM_007293,CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000177674,ENST00000400895,NM_001040197,1
ENSG00000276042,ENST00000617426,NM_001278428,CHR_HSCHR19LRC_PGF1_CTG3_1
ENSG00000242038,ENST00000447331,NM_030652,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000186567,ENST00000358777,NM_001127893,19
ENSG00000276042,ENST00000621368,NM_001278429,CHR_HSCHR19LRC_PGF1_CTG3_1
ENSG00000166436,ENST00000299550,NM_014818,11
ENSG00000169554,ENST00000539609,NM_001171653,2
ENSG00000186567,ENST00000403660,NM_020219,19
ENSG00000136270,ENST00000258770,NM_004749,7
ENSG00000108515,ENST00000323997,NM_001976,17
ENSG00000108515,ENST00000323997,NM_053013,17
ENSG00000276042,ENST00000619910,NM_001278427,CHR_HSCHR19LRC_PGF1_CTG3_1
ENSG00000136270,ENST00000361278,NM_199122,7
ENSG00000136270,ENST00000361278,NM_030900,7
ENSG00000127952,ENST00000359697,NM_001317785,7
ENSG00000276042,ENST00000617098,NM_001278426,CHR_HSCHR19LRC_PGF1_CTG3_1
ENSG00000136710,ENST00000259229,NM_032357,2
ENSG00000136710,ENST00000259229,NM_001321119,2
ENSG00000138792,ENST00000265162,NM_001977,4
ENSG00000177674,ENST00000376629,NM_001040194,1
ENSG00000127952,ENST00000340062,NM_001317788,7
ENSG00000127952,ENST00000340062,NM_001317787,7
ENSG00000213892,ENST00000587331,NM_001039213,19
ENSG00000136710,ENST00000409127,NM_001321118,2
ENSG00000136270,ENST00000494076,NM_001261834,7
ENSG00000239974,ENST00000452189,NM_030652,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000206340,ENST00000549812,NM_001252204,CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000167645,ENST00000337679,NM_001145463,19
ENSG00000177674,ENST00000314340,NM_020350,1
ENSG00000216588,ENST00000402988,NM_001205280,19
ENSG00000177674,ENST00000452018,NM_001040196,1
ENSG00000125459,ENST00000649846,NM_001350786,1
ENSG00000125459,ENST00000649846,NM_001350773,1
ENSG00000125459,ENST00000649846,NM_001350774,1
ENSG00000125459,ENST00000649846,NM_001350775,1
ENSG00000115155,ENST00000272371,NM_194248,2
ENSG00000115155,ENST00000403946,NM_001287489,2
ENSG00000167645,ENST00000339413,NM_001039672,19
ENSG00000167645,ENST00000339413,NM_001039673,19
ENSG00000198081,ENST00000357006,NM_001143823,18
ENSG00000127952,ENST00000360591,NM_001317789,7
ENSG00000125703,ENST00000317868,NM_032852,1
ENSG00000127952,ENST00000248600,NM_001317786,7
ENSG00000127952,ENST00000248600,NM_016086,7
ENSG00000186716,ENST00000305877,NM_004327,22
ENSG00000198081,ENST00000400143,NM_003409,18
ENSG00000205542,ENST00000451311,NM_021109,X
ENSG00000125703,ENST00000371120,NM_178221,1
ENSG00000167645,ENST00000329420,NM_001145461,19
ENSG00000167645,ENST00000329420,NM_001039671,19
ENSG00000206285,ENST00000383209,NM_003782,CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000186716,ENST00000359540,NM_021574,22
ENSG00000115155,ENST00000646318,NM_194322,2
ENSG00000167645,ENST00000591784,NM_001145462,19
ENSG00000108515,ENST00000519584,NM_001193503,17
ENSG00000170889,ENST00000302907,NM_001321701,19
ENSG00000170889,ENST00000302907,NM_001013,19
ENSG00000170889,ENST00000302907,NM_001321705,19
ENSG00000170889,ENST00000302907,NM_001321704,19
ENSG00000206560,ENST00000399451,NM_015199,3
ENSG00000206560,ENST00000399451,NM_001349279,3
ENSG00000206560,ENST00000399451,NM_001349280,3
ENSG00000206560,ENST00000399451,NM_001349281,3
ENSG00000206560,ENST00000399451,NM_001349282,3
ENSG00000206560,ENST00000399451,NM_001349278,3
ENSG00000206560,ENST00000399451,NM_001349277,3
ENSG00000198081,ENST00000651870,NM_001243702,18
ENSG00000187189,ENST00000420283,NM_021648,6
ENSG00000198081,ENST00000614697,NM_001243704,18
ENSG00000067606,ENST00000378567,NM_002744,1
ENSG00000108518,ENST00000225655,NM_005022,17
ENSG00000170889,ENST00000391752,NM_001321702,19
ENSG00000125459,ENST00000245564,NM_001350776,1
ENSG00000125459,ENST00000245564,NM_018116,1
ENSG00000125459,ENST00000245564,NM_001256532,1
ENSG00000125459,ENST00000245564,NM_001350772,1
ENSG00000125459,ENST00000245564,NM_001256533,1
ENSG00000125459,ENST00000368341,NM_001350779,1
ENSG00000125459,ENST00000368341,NM_001350784,1
ENSG00000125459,ENST00000368341,NM_001350785,1
ENSG00000125459,ENST00000368341,NM_001350781,1
ENSG00000125459,ENST00000368341,NM_001350778,1
ENSG00000125459,ENST00000368341,NM_001350789,1
ENSG00000125459,ENST00000368341,NM_001350788,1
ENSG00000125459,ENST00000368341,NM_001350782,1
ENSG00000125459,ENST00000368341,NM_001350783,1
ENSG00000125459,ENST00000368341,NM_001350780,1
ENSG00000125459,ENST00000368341,NM_001350777,1
ENSG00000125459,ENST00000368341,NM_001350787,1
ENSG00000170889,ENST00000391751,NM_001321706,19
ENSG00000154025,ENST00000317977,NM_001282417,17
ENSG00000073008,ENST00000425690,NM_006505,19
ENSG00000073008,ENST00000344956,NM_001135769,19
ENSG00000140284,ENST00000267842,NM_003645,15
ENSG00000073008,ENST00000403059,NM_001135768,19
ENSG00000163520,ENST00000404922,NM_001004019,3
ENSG00000167641,ENST00000347262,NM_001243947,19
ENSG00000140284,ENST00000380902,NM_001159629,15
ENSG00000130475,ENST00000594202,NM_001161357,19
ENSG00000154025,ENST00000395647,NM_152351,17
ENSG00000163520,ENST00000295760,NM_001998,3
ENSG00000167641,ENST00000301242,NM_033256,19
ENSG00000073008,ENST00000406449,NM_001135770,19
ENSG00000154025,ENST00000395643,NM_001270648,17
ENSG00000206353,ENST00000383336,NM_006929,CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000154025,ENST00000395645,NM_001042450,17
ENSG00000136718,ENST00000259239,NM_033416,2
ENSG00000136718,ENST00000259239,NM_001320305,2
ENSG00000136718,ENST00000259239,NM_001320304,2
ENSG00000163520,ENST00000492059,NM_001165035,3
ENSG00000184371,ENST00000329608,NM_000757,1
ENSG00000067606,ENST00000400921,NM_001350804,1
ENSG00000067606,ENST00000400921,NM_001350806,1
ENSG00000067606,ENST00000400921,NM_001350803,1
ENSG00000067606,ENST00000400921,NM_001033581,1
ENSG00000067606,ENST00000400921,NM_001350805,1
ENSG00000067606,ENST00000400921,NM_001033582,1
ENSG00000154025,ENST00000417251,NM_001270649,17
ENSG00000127804,ENST00000263092,NM_024086,17
ENSG00000184371,ENST00000369802,NM_172212,1
ENSG00000067606,ENST00000461106,NM_001242874,1
ENSG00000184371,ENST00000420111,NM_172211,1
ENSG00000182318,ENST00000329665,NM_181846,19
ENSG00000182318,ENST00000329665,NM_001321117,19
ENSG00000182318,ENST00000329665,NM_001321116,19
ENSG00000140382,ENST00000336216,NM_001304505,15
ENSG00000140382,ENST00000336216,NM_001304504,15
ENSG00000184371,ENST00000369801,NM_172210,1
ENSG00000130475,ENST00000600676,NM_001161358,19
ENSG00000113319,ENST00000265080,NM_006909,5
ENSG00000182704,ENST00000333090,NM_015516,11
ENSG00000140382,ENST00000381714,NM_018200,15
ENSG00000237508,ENST00000445657,NM_001098479,CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000157570,ENST00000340160,NM_130783,11
ENSG00000182704,ENST00000527881,NM_001318477,11
ENSG00000182704,ENST00000612930,NM_001258210,11
ENSG00000182704,ENST00000612930,NM_001318478,11
ENSG00000182704,ENST00000612930,NM_001318479,11
ENSG00000105409,ENST00000648268,NM_152296,19
ENSG00000278129,ENST00000621650,NM_021089,19
ENSG00000237508,ENST00000440590,NM_001098478,CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000164434,ENST00000368444,NM_001446,6
ENSG00000206560,ENST00000461696,NM_001349285,3
ENSG00000206560,ENST00000461696,NM_001349284,3
ENSG00000164434,ENST00000356535,NM_001319041,6
ENSG00000164434,ENST00000356535,NM_001319039,6
ENSG00000206560,ENST00000624145,NM_001195098,3
ENSG00000206560,ENST00000624145,NM_001349283,3
ENSG00000206560,ENST00000624145,NM_001195099,3
ENSG00000154016,ENST00000284154,NM_006613,17
ENSG00000154016,ENST00000573099,NM_001330148,17
ENSG00000105409,ENST00000545399,NM_001256214,19
ENSG00000184277,ENST00000428002,NM_001307960,15
ENSG00000237508,ENST00000551780,NM_018950,CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000132429,ENST00000254765,NM_022361,6
ENSG00000184277,ENST00000559107,NM_001308026,15
ENSG00000159189,ENST00000374640,NM_001347620,1
ENSG00000159189,ENST00000374640,NM_172369,1
ENSG00000184277,ENST00000347970,NM_025141,15
ENSG00000159189,ENST00000374639,NM_001114101,1
ENSG00000159189,ENST00000374637,NM_001347619,1
ENSG00000105409,ENST00000543770,NM_001256213,19
ENSG00000140694,ENST00000437198,NM_002582,16
ENSG00000184277,ENST00000333202,NM_078474,15
ENSG00000162585,ENST00000469733,NM_001146310,1
ENSG00000130475,ENST00000596536,NM_015122,19
ENSG00000163568,ENST00000368130,NM_001348247,1
ENSG00000163568,ENST00000368130,NM_004833,1
ENSG00000188522,ENST00000388995,NM_001039999,17
ENSG00000136718,ENST00000409649,NM_001320309,2
ENSG00000136718,ENST00000409649,NM_001320310,2
ENSG00000136718,ENST00000409649,NM_001320311,2
ENSG00000213965,ENST00000397061,NM_001105570,19
ENSG00000136718,ENST00000428740,NM_001320307,2
ENSG00000136718,ENST00000428740,NM_001320306,2
ENSG00000165325,ENST00000298050,NM_181645,11
ENSG00000130475,ENST00000595033,NM_001161359,19
ENSG00000206256,ENST00000383152,NM_138717,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000178982,ENST00000593149,NM_001308393,19
ENSG00000115592,ENST00000439262,NM_017431,2
ENSG00000206256,ENST00000399662,NM_005155,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000137757,ENST00000260315,NM_004347,11
ENSG00000125148,ENST00000245185,NM_005953,16
ENSG00000109255,ENST00000511469,NM_001292045,4
ENSG00000162585,ENST00000428120,NM_001282671,1
ENSG00000137757,ENST00000444749,NM_001136109,11
ENSG00000162585,ENST00000414253,NM_001282672,1
ENSG00000162585,ENST00000400918,NM_001282673,1
ENSG00000206256,ENST00000547646,NM_001204103,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000105404,ENST00000222008,NM_006423,19
ENSG00000109255,ENST00000264218,NM_006681,4
ENSG00000162585,ENST00000378543,NM_001256947,1
ENSG00000272395,ENST00000606380,NM_001276254,19
ENSG00000137757,ENST00000418434,NM_001136110,11
ENSG00000137757,ENST00000393141,NM_001136112,11
ENSG00000162585,ENST00000378546,NM_182533,1
ENSG00000087085,ENST00000419336,NM_001282449,7
ENSG00000109255,ENST00000507338,NM_001292046,4
ENSG00000140694,ENST00000420015,NM_001242992,16
ENSG00000162585,ENST00000487186,NM_001282670,1
ENSG00000087085,ENST00000241069,NM_000665,7
ENSG00000087085,ENST00000241069,NM_001367915,7
ENSG00000229071,ENST00000419655,NM_030651,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000231225,ENST00000438928,NM_001289154,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000198131,ENST00000599227,NM_001320791,19
ENSG00000198131,ENST00000599227,NM_001320792,19
ENSG00000198131,ENST00000599227,NM_001320788,19
ENSG00000087085,ENST00000428317,NM_001302622,7
ENSG00000241394,ENST00000439054,NM_006120,CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000229071,ENST00000423671,NM_001363780,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000087085,ENST00000412389,NM_001367918,7
ENSG00000087085,ENST00000412389,NM_001367917,7
ENSG00000087085,ENST00000412389,NM_001367919,7
ENSG00000162585,ENST00000420515,NM_001256946,1
ENSG00000140694,ENST00000341484,NM_001134477,16
ENSG00000126970,ENST00000374839,NM_018684,X
ENSG00000112941,ENST00000230859,NM_001171805,5
ENSG00000112941,ENST00000230859,NM_006999,5
ENSG00000162585,ENST00000400919,NM_001256945,1
ENSG00000175274,ENST00000395648,NM_001258323,11
ENSG00000079308,ENST00000171887,NM_022648,2
ENSG00000178982,ENST00000248342,NM_013234,19
ENSG00000126970,ENST00000337990,NM_001243804,X
ENSG00000126970,ENST00000337990,NM_001178032,X
ENSG00000274646,ENST00000620940,NM_001321702,CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000198131,ENST00000597240,NM_001320776,19
ENSG00000198131,ENST00000597240,NM_001320780,19
ENSG00000198131,ENST00000597240,NM_001320783,19
ENSG00000112276,ENST00000314641,NM_001199563,6
ENSG00000183709,ENST00000331982,NM_172138,19
ENSG00000232859,ENST00000379102,NM_001076680,17
ENSG00000112276,ENST00000336775,NM_007073,6
ENSG00000120063,ENST00000439174,NM_006572,17
ENSG00000138411,ENST00000260983,NM_020760,2
ENSG00000183783,ENST00000360029,NM_198353,4
ENSG00000175274,ENST00000533940,NM_001318384,11
ENSG00000175274,ENST00000533940,NM_001258320,11
ENSG00000087085,ENST00000411582,NM_001302621,7
ENSG00000198131,ENST00000596825,NM_001320781,19
ENSG00000198131,ENST00000596825,NM_001320789,19
ENSG00000112276,ENST00000446408,NM_147147,6
ENSG00000120063,ENST00000541118,NM_001282425,17
ENSG00000175274,ENST00000525680,NM_001318388,11
ENSG00000175274,ENST00000525680,NM_001318389,11
ENSG00000175274,ENST00000525680,NM_006034,11
ENSG00000175274,ENST00000525680,NM_001318390,11
ENSG00000231225,ENST00000616968,NM_001289152,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000231225,ENST00000616968,NM_001289153,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000126970,ENST00000447788,NM_001178033,X
ENSG00000231225,ENST00000546529,NM_001177519,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000182393,ENST00000333625,NM_172140,19
ENSG00000175274,ENST00000528290,NM_001318387,11
ENSG00000178982,ENST00000592558,NM_001300992,19
ENSG00000198131,ENST00000596652,NM_001320767,19
ENSG00000198131,ENST00000596652,NM_001320786,19
ENSG00000198131,ENST00000596652,NM_001320777,19
ENSG00000198131,ENST00000596652,NM_014480,19
ENSG00000198131,ENST00000596652,NM_001320785,19
ENSG00000198131,ENST00000596652,NM_001320769,19
ENSG00000198131,ENST00000596652,NM_001320774,19
ENSG00000198131,ENST00000596652,NM_001320787,19
ENSG00000128011,ENST00000248668,NM_020862,19
ENSG00000198131,ENST00000600044,NM_001320770,19
ENSG00000104043,ENST00000284509,NM_024837,15
ENSG00000198131,ENST00000600220,NM_001320771,19
ENSG00000198131,ENST00000600220,NM_001320773,19
ENSG00000226275,ENST00000456789,NM_001159740,CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000274646,ENST00000616082,NM_001321701,CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000274646,ENST00000616082,NM_001013,CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000274646,ENST00000616082,NM_001321706,CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000274646,ENST00000616082,NM_001321705,CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000274646,ENST00000616082,NM_001321704,CHR_HSCHR19LRC_COX1_CTG3_1
ENSG00000151338,ENST00000327441,NM_138731,14
ENSG00000198131,ENST00000596929,NM_001320782,19
ENSG00000226275,ENST00000448630,NM_000595,CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000275214,ENST00000615978,NM_001288960,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000615978,NM_001288959,CHR_HSCHR14_7_CTG1
ENSG00000079308,ENST00000419504,NM_001308022,2
ENSG00000079308,ENST00000430930,NM_001308023,2
ENSG00000226264,ENST00000440078,NM_002118,CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000138411,ENST00000644421,NM_001304840,2
ENSG00000160216,ENST00000291572,NM_020132,21
ENSG00000175274,ENST00000616990,NM_001258324,11
ENSG00000175274,ENST00000616990,NM_001318385,11
ENSG00000175274,ENST00000616990,NM_001258322,11
ENSG00000175274,ENST00000308212,NM_001318386,11
ENSG00000175274,ENST00000308212,NM_001258321,11
ENSG00000275214,ENST00000613997,NM_001130080,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000613997,NM_005532,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000613997,NM_001288995,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000613997,NM_001288956,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000613997,NM_001366994,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000613997,NM_001288958,CHR_HSCHR14_7_CTG1
ENSG00000138411,ENST00000644978,NM_001348768,2
ENSG00000275214,ENST00000612838,NM_001288954,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000612838,NM_001288952,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000627111,NM_001366993,CHR_HSCHR14_7_CTG1
ENSG00000275214,ENST00000627111,NM_001288957,CHR_HSCHR14_7_CTG1
ENSG00000140280,ENST00000267838,NM_153374,15
ENSG00000157766,ENST00000352105,NM_001135,15
ENSG00000160216,ENST00000398063,NM_001037553,21
ENSG00000140280,ENST00000454181,NM_001143917,15
ENSG00000140280,ENST00000454181,NM_001363969,15
ENSG00000151338,ENST00000396294,NM_001195296,14
ENSG00000151338,ENST00000396294,NM_001195297,14
ENSG00000173369,ENST00000314933,NM_000491,1
ENSG00000239900,ENST00000623063,NM_000026,22
ENSG00000239900,ENST00000623063,NM_001317923,22
ENSG00000157766,ENST00000439576,NM_013227,15
ENSG00000070882,ENST00000313367,NM_015550,7
ENSG00000205755,ENST00000400841,NM_022148,X
ENSG00000169679,ENST00000302759,NM_004336,2
ENSG00000239900,ENST00000342312,NM_001123378,22
ENSG00000169679,ENST00000535254,NM_001278616,2
ENSG00000160182,ENST00000291527,NM_003225,21
ENSG00000074660,ENST00000263071,NM_003693,17
ENSG00000239900,ENST00000636714,NM_001363840,22
ENSG00000205755,ENST00000381567,NM_001012288,X
ENSG00000197497,ENST00000396424,NM_024733,19
ENSG00000197497,ENST00000396424,NM_001353459,19
ENSG00000197497,ENST00000396424,NM_001353458,19
ENSG00000197497,ENST00000396424,NM_001353457,19
ENSG00000139946,ENST00000267460,NM_021255,14
ENSG00000169679,ENST00000409311,NM_001278617,2
ENSG00000163281,ENST00000507917,NM_001270880,4
ENSG00000055813,ENST00000407595,NM_001080433,2
ENSG00000055813,ENST00000407595,NM_001348512,2
ENSG00000055813,ENST00000407595,NM_001348513,2
ENSG00000055813,ENST00000407595,NM_001348514,2
ENSG00000055813,ENST00000407595,NM_001348515,2
ENSG00000169519,ENST00000406787,NM_001297775,11
ENSG00000163281,ENST00000295448,NM_138335,4
ENSG00000132932,ENST00000381655,NM_016529,13
ENSG00000132932,ENST00000381655,NM_001313741,13
ENSG00000119862,ENST00000238875,NM_014181,2
ENSG00000196639,ENST00000438284,NM_001098213,3
ENSG00000163281,ENST00000507534,NM_001270881,4
ENSG00000164904,ENST00000409134,NM_001201377,5
ENSG00000164904,ENST00000409134,NM_001182,5
ENSG00000196639,ENST00000431010,NM_001098212,3
ENSG00000196639,ENST00000431010,NM_001098211,3
ENSG00000169519,ENST00000407364,NM_001113528,11
ENSG00000271567,ENST00000581164,NM_001144032,1
ENSG00000196639,ENST00000397056,NM_000861,3
ENSG00000111817,ENST00000452085,NM_001080976,6
ENSG00000074660,ENST00000571272,NM_145350,17
ENSG00000169519,ENST00000303459,NM_152636,11
ENSG00000228696,ENST00000570618,NM_001103154,17
ENSG00000228696,ENST00000656849,NM_001352769,17
ENSG00000228696,ENST00000575698,NM_001330240,17
ENSG00000102547,ENST00000355854,NM_030925,13
ENSG00000187288,ENST00000336832,NM_001199552,3
ENSG00000187288,ENST00000336832,NM_001321142,3
ENSG00000187288,ENST00000336832,NM_022094,3
ENSG00000128872,ENST00000249700,NM_014548,15
ENSG00000177752,ENST00000332990,NM_182592,4
ENSG00000111817,ENST00000644252,NM_001322937,6
ENSG00000111817,ENST00000644252,NM_001322940,6
ENSG00000111817,ENST00000644252,NM_001322938,6
ENSG00000111817,ENST00000644252,NM_001322939,6
ENSG00000111817,ENST00000644252,NM_013352,6
ENSG00000111817,ENST00000644252,NM_001322941,6
ENSG00000228696,ENST00000575960,NM_001363805,17
ENSG00000111817,ENST00000646710,NM_001322943,6
ENSG00000187288,ENST00000455015,NM_001321143,3
ENSG00000070882,ENST00000396431,NM_145320,7
ENSG00000118946,ENST00000377918,NM_001040429,13
ENSG00000228696,ENST00000450673,NM_001039083,17
ENSG00000187288,ENST00000423850,NM_001321144,3
ENSG00000111817,ENST00000359564,NM_001322944,6
